ID;Ika;Sukup;Alue;Q41;Q42;Q53;Q43;Q44;Q45;Q46;Q47;Q54;Q48;Q49;Q50;Q51;Q52;Q55;Talous;Tulot
106;3;1;4;1;1; ;2011;7;3;1;1; ;2010;8;3;1;7; ;3;5
107;3;1;4;1;1; ;2011;3;1;2;1; ;2008;13;5;1;1; ;3;1
108;2;2;2;1;1; ;2011;12;1;2;1; ;2009;13;2;1;1; ;5;2
109;5;2;3;1;1; ;2012;8;3;2;1; ;9999;13;5;1;1; ;2;2
110;4;2;1;1;2; ;2011;13;5;3;1; ;2009;13;5;2;7; ;3;1
111;5;2;1;1;1; ;2012;13;3;2;1; ;9999;13;5;1;3; ;3;3
112;5;2;1;1;1; ;2011;12;1;2;1; ;2009;2;1;1;1; ;1;2
113;3;1;4;1;1; ;2006;13;3;3;1; ;1999;13;5;1;1; ;1;2
114;2;2;4;1;1; ;2010;13;5;1;1; ;2006;13;3;2;1; ;2;3
115;6;2;3;1;1; ;2008;12;1;1;7; ; ; ; ; ;7; ;2;1
116;3;1;4;1;1; ;2012;13;3;2;3; ;9999;13;5;1;3; ;5;5
117;5;2;3;1;1; ;2009;5;2;2;1; ;2006;13;4;1;1; ;2;2
118;4;1;4;1;1; ;2012;4;2;3;1; ;2000;13;1;2;1; ;5;2
119;6;1;4;1;1; ;2009;13;5;2;7; ; ; ; ; ;7; ;3;5
120;5;1;2;1;3; ;2011;13;5;1;1; ;9999;13;5;1;1; ;2;2
121;5;1;4;1;1; ;2012;3;2;2;1; ;2010;12;1;2;1; ;1;1
122;5;2;3;1;1; ;2009;12;1;1;1; ;2002;5;2;1;1; ;2;2
123;5;1;3;1;2; ;2011;7;3;3;2; ;2009;13;4;3;2; ;3;4
124;4;2;4;1;1; ;2010;13;2;2;7; ; ; ; ; ;1; ;3;1
125;6;2;4;1;1; ;2008;13;5;2;7; ; ; ; ; ;7; ;1;1
126;6;2;2;1;1; ;2005;13;5;1;1; ;9999;13;5;1;6;DORO;2;2
127;5;1;4;1;3; ;2012;13;2;3;3; ;2010;13;5;3;7; ;2;2
128;6;2;4;1;1; ;2010;13;2;1;1; ;9999;13;5;1;1; ;2;1
129;5;2;2;1;1; ;2010;5;2;2;1; ;2005;13;5;1;1; ;2;1
130;3;2;1;1;1; ;2011;12;1;3;1; ;2008;13;3;1;1; ;4;5
131;6;1;2;1;1; ;2002;13;3;1;1; ;9999;13;5;1;2; ;2;2
132;2;1;3;1;1; ;2012;6;3;3;3; ;2008;13;5;1;7; ;3;2
133;6;1;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;2;2
134;6;2;2;1;3; ;2011;13;4;3;1; ;9999;13;5;1;1; ;2;1
135;4;1;3;1;1; ;2011;3;1;2;1; ;2008;13;2;2;3; ;4;3
136;6;1;4;1;1; ;2012;13;1;2;1; ;2010;13;5;1;1; ;1;1
137;3;1;1;1;1; ;2012;10;4;3;1; ;2010;7;3;1;1; ;1;1
138;6;2;3;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;2;2
139;4;2;2;1;1; ;2010;13;2;1;3; ;9999;13;2;1;7; ;4;3
140;4;1;2;1;3; ;2011;13;1;3;5; ;2009;13;1;2;3; ;6;5
141;4;1;2;1;1; ;2012;12;1;1;1; ;2008;13;5;1;1; ;4;3
143;1;2;3;1;1; ;2005;13;3;1;1; ;2001;12;1;1;1; ;1;1
144;6;1;3;1;1; ;2003;13;5;1;1; ;9999;13;5;1;1; ;2;1
145;6;1;4;1;1; ;2012;6;3;3;1; ;2005;13;5;2;1; ;2;1
146;3;1;4;1;1; ;2010;3;2;3;1; ;9999;13;5;3;3; ;4;3
147;1;1;3;1;1; ;2012;12;1;3;1; ;2005;12;1;2;1; ;2;2
148;5;2;1;1;1; ;2009;12;1;2;1; ;1996;13;5;1;1; ;1;1
149;2;1;2;1;2; ;2012;6;2;3;1; ;2009;13;2;3;2; ;2;2
150;4;1;3;1;3; ;2012;4;2;3;1; ;2010;13;5;1;3; ;3;2
